15 июл. 2026 18:50:10,277 system - system - system  INFO RemoteLogger - NAVIGATOR OPEN : lsfusion.server.logics.navigator.controller.remote.RemoteNavigator@438b75ab
20 июл. 2026 18:55:03,642 Админ Админов - 127.0.0.1 - 127.0.0.1  INFO RemoteLogger - FORM HIDE : FORM[1178470480 - Main.viewPlayer,RN[clientAddress: 127.0.0.1,284 - Authentication.CustomUser 'Обычный пользователь',413174936,SQL@539626604]]
20 июл. 2026 18:55:03,642 Админ Админов - 127.0.0.1 - 127.0.0.1  INFO RemoteLogger - FORM DELAYED DESTROY : RF[FORM[1178470480 - Main.viewPlayer,RN[clientAddress: 127.0.0.1,284 - Authentication.CustomUser 'Обычный пользователь',413174936,SQL@539626604]]]
20 июл. 2026 18:55:04,976 Админ Админов - 127.0.0.1 - 127.0.0.1  INFO RemoteLogger - FORM HIDE : FORM[180303129 - Main.viewReasons,RN[clientAddress: 127.0.0.1,284 - Authentication.CustomUser 'Обычный пользователь',413174936,SQL@539626604]]
20 июл. 2026 18:55:04,976 Админ Админов - 127.0.0.1 - 127.0.0.1  INFO RemoteLogger - FORM DELAYED DESTROY : RF[FORM[180303129 - Main.viewReasons,RN[clientAddress: 127.0.0.1,284 - Authentication.CustomUser 'Обычный пользователь',413174936,SQL@539626604]]]
20 июл. 2026 18:55:05,997 Админ Админов - 127.0.0.1 - 127.0.0.1  INFO RemoteLogger - FORM HIDE : FORM[1819351160 - Main.viewResult,RN[clientAddress: 127.0.0.1,284 - Authentication.CustomUser 'Обычный пользователь',413174936,SQL@539626604]]
20 июл. 2026 18:55:05,997 Админ Админов - 127.0.0.1 - 127.0.0.1  INFO RemoteLogger - FORM DELAYED DESTROY : RF[FORM[1819351160 - Main.viewResult,RN[clientAddress: 127.0.0.1,284 - Authentication.CustomUser 'Обычный пользователь',413174936,SQL@539626604]]]
20 июл. 2026 18:55:07,482 Админ Админов - 127.0.0.1 - 127.0.0.1  INFO RemoteLogger - REMOTE OBJECT DEACTIVATE RF[FORM[101138559 - Main.viewUO,RN[clientAddress: 127.0.0.1,284 - Authentication.CustomUser 'Обычный пользователь',413174936,SQL@539626604]]]
20 июл. 2026 18:55:08,652 Админ Админов - 127.0.0.1 - 127.0.0.1  INFO RemoteLogger - REMOTE OBJECT DEACTIVATE RF[FORM[1178470480 - Main.viewPlayer,RN[clientAddress: 127.0.0.1,284 - Authentication.CustomUser 'Обычный пользователь',413174936,SQL@539626604]]]
20 июл. 2026 18:55:09,987 Админ Админов - 127.0.0.1 - 127.0.0.1  INFO RemoteLogger - REMOTE OBJECT DEACTIVATE RF[FORM[180303129 - Main.viewReasons,RN[clientAddress: 127.0.0.1,284 - Authentication.CustomUser 'Обычный пользователь',413174936,SQL@539626604]]]
20 июл. 2026 18:55:11,006 Админ Админов - 127.0.0.1 - 127.0.0.1  INFO RemoteLogger - REMOTE OBJECT DEACTIVATE RF[FORM[1819351160 - Main.viewResult,RN[clientAddress: 127.0.0.1,284 - Authentication.CustomUser 'Обычный пользователь',413174936,SQL@539626604]]]
20 июл. 2026 18:55:12,483 Админ Админов - 127.0.0.1 - 127.0.0.1  INFO RemoteLogger - REMOTE OBJECT CLOSE RF[FORM[101138559 - Main.viewUO,RN[clientAddress: 127.0.0.1,284 - Authentication.CustomUser 'Обычный пользователь',413174936,SQL@539626604]]]
20 июл. 2026 18:55:12,483 Админ Админов - 127.0.0.1 - 127.0.0.1  INFO RemoteLogger - FORM CLOSE : FORM[101138559 - Main.viewUO,RN[clientAddress: 127.0.0.1,284 - Authentication.CustomUser 'Обычный пользователь',413174936,SQL@539626604]]
20 июл. 2026 18:55:13,652 Админ Админов - 127.0.0.1 - 127.0.0.1  INFO RemoteLogger - REMOTE OBJECT CLOSE RF[FORM[1178470480 - Main.viewPlayer,RN[clientAddress: 127.0.0.1,284 - Authentication.CustomUser 'Обычный пользователь',413174936,SQL@539626604]]]
20 июл. 2026 18:55:13,652 Админ Админов - 127.0.0.1 - 127.0.0.1  INFO RemoteLogger - FORM CLOSE : FORM[1178470480 - Main.viewPlayer,RN[clientAddress: 127.0.0.1,284 - Authentication.CustomUser 'Обычный пользователь',413174936,SQL@539626604]]
20 июл. 2026 18:55:14,989 Админ Админов - 127.0.0.1 - 127.0.0.1  INFO RemoteLogger - REMOTE OBJECT CLOSE RF[FORM[180303129 - Main.viewReasons,RN[clientAddress: 127.0.0.1,284 - Authentication.CustomUser 'Обычный пользователь',413174936,SQL@539626604]]]
20 июл. 2026 18:55:14,989 Админ Админов - 127.0.0.1 - 127.0.0.1  INFO RemoteLogger - FORM CLOSE : FORM[180303129 - Main.viewReasons,RN[clientAddress: 127.0.0.1,284 - Authentication.CustomUser 'Обычный пользователь',413174936,SQL@539626604]]
20 июл. 2026 18:55:16,007 Админ Админов - 127.0.0.1 - 127.0.0.1  INFO RemoteLogger - REMOTE OBJECT CLOSE RF[FORM[1819351160 - Main.viewResult,RN[clientAddress: 127.0.0.1,284 - Authentication.CustomUser 'Обычный пользователь',413174936,SQL@539626604]]]
20 июл. 2026 18:55:16,007 Админ Админов - 127.0.0.1 - 127.0.0.1  INFO RemoteLogger - FORM CLOSE : FORM[1819351160 - Main.viewResult,RN[clientAddress: 127.0.0.1,284 - Authentication.CustomUser 'Обычный пользователь',413174936,SQL@539626604]]
20 июл. 2026 19:09:41,878 system - system - system  INFO RemoteLogger - NAVIGATOR OPEN : lsfusion.server.logics.navigator.controller.remote.RemoteNavigator@66bab3fb
20 июл. 2026 19:10:03,900 system - system - system  INFO RemoteLogger - NAVIGATOR OPEN : lsfusion.server.logics.navigator.controller.remote.RemoteNavigator@5b4d50f5
20 июл. 2026 19:10:10,273 Админ Админов - 127.0.0.1 - 127.0.0.1  INFO RemoteLogger - FORM OPEN : FORM[1091167006 - Main.viewSubjects,RN[clientAddress: 127.0.0.1,284 - Authentication.CustomUser 'Обычный пользователь',1531793653,SQL@1781311086]]
20 июл. 2026 19:10:11,580 Админ Админов - 127.0.0.1 - 127.0.0.1  INFO RemoteLogger - FORM OPEN : FORM[91477331 - Main.viewRegions,RN[clientAddress: 127.0.0.1,284 - Authentication.CustomUser 'Обычный пользователь',1531793653,SQL@1781311086]]
20 июл. 2026 19:10:14,940 Админ Админов - 127.0.0.1 - 127.0.0.1  INFO RemoteLogger - executeEventAction started: [ID: 1688, SID: _ADDFORMNEWSESSION_Main_viewRegions_r_Main_Region()]
20 июл. 2026 19:10:14,954 Админ Админов - 127.0.0.1 - 127.0.0.1  INFO RemoteLogger - FORM OPEN : FORM[101680280 - _FORM_39879,RN[clientAddress: 127.0.0.1,284 - Authentication.CustomUser 'Обычный пользователь',1531793653,SQL@1781311086]]
20 июл. 2026 19:10:27,415 Админ Админов - 127.0.0.1 - 127.0.0.1  INFO RemoteLogger - FORM HIDE : FORM[101680280 - _FORM_39879,RN[clientAddress: 127.0.0.1,284 - Authentication.CustomUser 'Обычный пользователь',1531793653,SQL@1781311086]]
20 июл. 2026 19:10:27,415 Админ Админов - 127.0.0.1 - 127.0.0.1  INFO RemoteLogger - FORM DELAYED DESTROY : RF[FORM[101680280 - _FORM_39879,RN[clientAddress: 127.0.0.1,284 - Authentication.CustomUser 'Обычный пользователь',1531793653,SQL@1781311086]]]
20 июл. 2026 19:10:27,447 Админ Админов - 127.0.0.1 - 127.0.0.1  INFO RemoteLogger - executeEventAction ended: [ID: 1688, SID: _ADDFORMNEWSESSION_Main_viewRegions_r_Main_Region()]
20 июл. 2026 19:10:32,437 Админ Админов - 127.0.0.1 - 127.0.0.1  INFO RemoteLogger - REMOTE OBJECT DEACTIVATE RF[FORM[101680280 - _FORM_39879,RN[clientAddress: 127.0.0.1,284 - Authentication.CustomUser 'Обычный пользователь',1531793653,SQL@1781311086]]]
20 июл. 2026 19:10:32,894 Админ Админов - 127.0.0.1 - 127.0.0.1  INFO RemoteLogger - executeEventAction started: [ID: 1688, SID: _ADDFORMNEWSESSION_Main_viewRegions_r_Main_Region()]
20 июл. 2026 19:10:32,897 Админ Админов - 127.0.0.1 - 127.0.0.1  INFO RemoteLogger - FORM OPEN : FORM[1420148499 - _FORM_39879,RN[clientAddress: 127.0.0.1,284 - Authentication.CustomUser 'Обычный пользователь',1531793653,SQL@1781311086]]
20 июл. 2026 19:10:37,442 Админ Админов - 127.0.0.1 - 127.0.0.1  INFO RemoteLogger - REMOTE OBJECT CLOSE RF[FORM[101680280 - _FORM_39879,RN[clientAddress: 127.0.0.1,284 - Authentication.CustomUser 'Обычный пользователь',1531793653,SQL@1781311086]]]
20 июл. 2026 19:10:37,442 Админ Админов - 127.0.0.1 - 127.0.0.1  INFO RemoteLogger - FORM CLOSE : FORM[101680280 - _FORM_39879,RN[clientAddress: 127.0.0.1,284 - Authentication.CustomUser 'Обычный пользователь',1531793653,SQL@1781311086]]
20 июл. 2026 19:10:40,743 Админ Админов - 127.0.0.1 - 127.0.0.1  INFO RemoteLogger - FORM HIDE : FORM[1091167006 - Main.viewSubjects,RN[clientAddress: 127.0.0.1,284 - Authentication.CustomUser 'Обычный пользователь',1531793653,SQL@1781311086]]
20 июл. 2026 19:10:40,743 Админ Админов - 127.0.0.1 - 127.0.0.1  INFO RemoteLogger - FORM DELAYED DESTROY : RF[FORM[1091167006 - Main.viewSubjects,RN[clientAddress: 127.0.0.1,284 - Authentication.CustomUser 'Обычный пользователь',1531793653,SQL@1781311086]]]
20 июл. 2026 19:10:45,018 Админ Админов - 127.0.0.1 - 127.0.0.1  INFO RemoteLogger - FORM HIDE : FORM[1420148499 - _FORM_39879,RN[clientAddress: 127.0.0.1,284 - Authentication.CustomUser 'Обычный пользователь',1531793653,SQL@1781311086]]
20 июл. 2026 19:10:45,018 Админ Админов - 127.0.0.1 - 127.0.0.1  INFO RemoteLogger - FORM DELAYED DESTROY : RF[FORM[1420148499 - _FORM_39879,RN[clientAddress: 127.0.0.1,284 - Authentication.CustomUser 'Обычный пользователь',1531793653,SQL@1781311086]]]
20 июл. 2026 19:10:45,029 Админ Админов - 127.0.0.1 - 127.0.0.1  INFO RemoteLogger - executeEventAction ended: [ID: 1688, SID: _ADDFORMNEWSESSION_Main_viewRegions_r_Main_Region()]
20 июл. 2026 19:10:45,029 Админ Админов - 127.0.0.1 - 127.0.0.1  INFO RemoteLogger - Executed remote method (time: 6446 ms.): gainedFocus(5, 4)
20 июл. 2026 19:10:45,029 Админ Админов - 127.0.0.1 - 127.0.0.1  INFO RemoteLogger - Executed remote method (time: 4282 ms.): gainedFocus(6, 4)
20 июл. 2026 19:10:45,764 Админ Админов - 127.0.0.1 - 127.0.0.1  INFO RemoteLogger - REMOTE OBJECT DEACTIVATE RF[FORM[1091167006 - Main.viewSubjects,RN[clientAddress: 127.0.0.1,284 - Authentication.CustomUser 'Обычный пользователь',1531793653,SQL@1781311086]]]
20 июл. 2026 19:10:46,146 Админ Админов - 127.0.0.1 - 127.0.0.1  INFO RemoteLogger - getAsyncValues started: Thread[#225,RMI:Main.viewRegions, TID - (225),5,RMI Runtime], indices : (-1,0,0), value : 
20 июл. 2026 19:10:46,154 Админ Админов - 127.0.0.1 - 127.0.0.1  INFO RemoteLogger - getAsyncValues ended: Thread[#225,RMI:Main.viewRegions, TID - (225),5,RMI Runtime], indices : (-1,0,0)
20 июл. 2026 19:10:50,041 Админ Админов - 127.0.0.1 - 127.0.0.1  INFO RemoteLogger - REMOTE OBJECT DEACTIVATE RF[FORM[1420148499 - _FORM_39879,RN[clientAddress: 127.0.0.1,284 - Authentication.CustomUser 'Обычный пользователь',1531793653,SQL@1781311086]]]
20 июл. 2026 19:10:50,496 Админ Админов - 127.0.0.1 - 127.0.0.1  INFO RemoteLogger - executeEventAction started: [ID: 1682, SID: caption(r)]
20 июл. 2026 19:10:50,500 Админ Админов - 127.0.0.1 - 127.0.0.1  INFO RemoteLogger - executeEventAction ended: [ID: 1682, SID: caption(r)]
20 июл. 2026 19:10:50,775 Админ Админов - 127.0.0.1 - 127.0.0.1  INFO RemoteLogger - REMOTE OBJECT CLOSE RF[FORM[1091167006 - Main.viewSubjects,RN[clientAddress: 127.0.0.1,284 - Authentication.CustomUser 'Обычный пользователь',1531793653,SQL@1781311086]]]
20 июл. 2026 19:10:50,775 Админ Админов - 127.0.0.1 - 127.0.0.1  INFO RemoteLogger - FORM CLOSE : FORM[1091167006 - Main.viewSubjects,RN[clientAddress: 127.0.0.1,284 - Authentication.CustomUser 'Обычный пользователь',1531793653,SQL@1781311086]]
20 июл. 2026 19:10:52,229 Админ Админов - 127.0.0.1 - 127.0.0.1  INFO RemoteLogger - getAsyncValues started: Thread[#225,RMI:Main.viewRegions, TID - (225),5,RMI Runtime], indices : (-1,0,1), value : 
20 июл. 2026 19:10:52,230 Админ Админов - 127.0.0.1 - 127.0.0.1  INFO RemoteLogger - getAsyncValues ended: Thread[#225,RMI:Main.viewRegions, TID - (225),5,RMI Runtime], indices : (-1,0,1)
20 июл. 2026 19:10:53,467 Админ Админов - 127.0.0.1 - 127.0.0.1  INFO RemoteLogger - getAsyncValues started: Thread[#225,RMI:Main.viewRegions, TID - (225),5,RMI Runtime], indices : (-1,0,2), value : v
20 июл. 2026 19:10:53,483 Админ Админов - 127.0.0.1 - 127.0.0.1  INFO RemoteLogger - getAsyncValues ended: Thread[#225,RMI:Main.viewRegions, TID - (225),5,RMI Runtime], indices : (-1,0,2)
20 июл. 2026 19:10:53,968 Админ Админов - 127.0.0.1 - 127.0.0.1  INFO RemoteLogger - executeEventAction started: [ID: 1682, SID: caption(r)]
20 июл. 2026 19:10:53,969 Админ Админов - 127.0.0.1 - 127.0.0.1  INFO RemoteLogger - executeEventAction ended: [ID: 1682, SID: caption(r)]
20 июл. 2026 19:10:54,826 Админ Админов - 127.0.0.1 - 127.0.0.1  INFO RemoteLogger - getAsyncValues started: Thread[#225,RMI:Main.viewRegions, TID - (225),5,RMI Runtime], indices : (-1,0,3), value : 
20 июл. 2026 19:10:54,827 Админ Админов - 127.0.0.1 - 127.0.0.1  INFO RemoteLogger - getAsyncValues ended: Thread[#225,RMI:Main.viewRegions, TID - (225),5,RMI Runtime], indices : (-1,0,3)
20 июл. 2026 19:10:55,053 Админ Админов - 127.0.0.1 - 127.0.0.1  INFO RemoteLogger - REMOTE OBJECT CLOSE RF[FORM[1420148499 - _FORM_39879,RN[clientAddress: 127.0.0.1,284 - Authentication.CustomUser 'Обычный пользователь',1531793653,SQL@1781311086]]]
20 июл. 2026 19:10:55,053 Админ Админов - 127.0.0.1 - 127.0.0.1  INFO RemoteLogger - FORM CLOSE : FORM[1420148499 - _FORM_39879,RN[clientAddress: 127.0.0.1,284 - Authentication.CustomUser 'Обычный пользователь',1531793653,SQL@1781311086]]
20 июл. 2026 19:10:55,667 Админ Админов - 127.0.0.1 - 127.0.0.1  INFO RemoteLogger - getAsyncValues started: Thread[#225,RMI:Main.viewRegions, TID - (225),5,RMI Runtime], indices : (-1,0,4), value : м
20 июл. 2026 19:10:55,671 Админ Админов - 127.0.0.1 - 127.0.0.1  INFO RemoteLogger - getAsyncValues ended: Thread[#225,RMI:Main.viewRegions, TID - (225),5,RMI Runtime], indices : (-1,0,4)
20 июл. 2026 19:10:55,991 Админ Админов - 127.0.0.1 - 127.0.0.1  INFO RemoteLogger - getAsyncValues started: Thread[#225,RMI:Main.viewRegions, TID - (225),5,RMI Runtime], indices : (-1,0,5), value : мИ
20 июл. 2026 19:10:55,996 Админ Админов - 127.0.0.1 - 127.0.0.1  INFO RemoteLogger - getAsyncValues ended: Thread[#225,RMI:Main.viewRegions, TID - (225),5,RMI Runtime], indices : (-1,0,5)
20 июл. 2026 19:10:56,181 Админ Админов - 127.0.0.1 - 127.0.0.1  INFO RemoteLogger - getAsyncValues started: Thread[#225,RMI:Main.viewRegions, TID - (225),5,RMI Runtime], indices : (-1,0,6), value : мИН
20 июл. 2026 19:10:56,186 Админ Админов - 127.0.0.1 - 127.0.0.1  INFO RemoteLogger - getAsyncValues ended: Thread[#225,RMI:Main.viewRegions, TID - (225),5,RMI Runtime], indices : (-1,0,6)
20 июл. 2026 19:10:57,896 Админ Админов - 127.0.0.1 - 127.0.0.1  INFO RemoteLogger - executeEventAction started: [ID: 1682, SID: caption(r)]
20 июл. 2026 19:10:57,898 Админ Админов - 127.0.0.1 - 127.0.0.1  INFO RemoteLogger - executeEventAction ended: [ID: 1682, SID: caption(r)]
20 июл. 2026 19:11:00,384 Админ Админов - 127.0.0.1 - 127.0.0.1  INFO RemoteLogger - executeEventAction started: [ID: 1672, SID: formOk()]
20 июл. 2026 19:11:00,403 Админ Админов - 127.0.0.1 - 127.0.0.1  INFO RemoteLogger - FORM HIDE : FORM[91477331 - Main.viewRegions,RN[clientAddress: 127.0.0.1,284 - Authentication.CustomUser 'Обычный пользователь',1531793653,SQL@1781311086]]
20 июл. 2026 19:11:00,403 Админ Админов - 127.0.0.1 - 127.0.0.1  INFO RemoteLogger - executeEventAction ended: [ID: 1672, SID: formOk()]
20 июл. 2026 19:11:00,403 Админ Админов - 127.0.0.1 - 127.0.0.1  INFO RemoteLogger - FORM DELAYED DESTROY : RF[FORM[91477331 - Main.viewRegions,RN[clientAddress: 127.0.0.1,284 - Authentication.CustomUser 'Обычный пользователь',1531793653,SQL@1781311086]]]
20 июл. 2026 19:11:02,233 Админ Админов - 127.0.0.1 - 127.0.0.1  INFO RemoteLogger - FORM OPEN : FORM[437911120 - Main.viewResultTypes,RN[clientAddress: 127.0.0.1,284 - Authentication.CustomUser 'Обычный пользователь',1531793653,SQL@1781311086]]
20 июл. 2026 19:11:05,446 Админ Админов - 127.0.0.1 - 127.0.0.1  INFO RemoteLogger - REMOTE OBJECT DEACTIVATE RF[FORM[91477331 - Main.viewRegions,RN[clientAddress: 127.0.0.1,284 - Authentication.CustomUser 'Обычный пользователь',1531793653,SQL@1781311086]]]
20 июл. 2026 19:11:07,003 Админ Админов - 127.0.0.1 - 127.0.0.1  INFO RemoteLogger - executeEventAction started: [ID: 1661, SID: _ADDFORMNEWSESSION_Main_viewResultTypes_rt_Main_ResultType()]
20 июл. 2026 19:11:07,009 Админ Админов - 127.0.0.1 - 127.0.0.1  INFO RemoteLogger - FORM OPEN : FORM[2000483999 - _FORM_39901,RN[clientAddress: 127.0.0.1,284 - Authentication.CustomUser 'Обычный пользователь',1531793653,SQL@1781311086]]
20 июл. 2026 19:11:08,919 Админ Админов - 127.0.0.1 - 127.0.0.1  INFO RemoteLogger - getAsyncValues started: Thread[#225,RMI:_FORM_39901, TID - (225),5,RMI Runtime], indices : (-1,0,0), value : П
20 июл. 2026 19:11:08,923 Админ Админов - 127.0.0.1 - 127.0.0.1  INFO RemoteLogger - getAsyncValues ended: Thread[#225,RMI:_FORM_39901, TID - (225),5,RMI Runtime], indices : (-1,0,0)
20 июл. 2026 19:11:09,399 Админ Админов - 127.0.0.1 - 127.0.0.1  INFO RemoteLogger - getAsyncValues started: Thread[#225,RMI:_FORM_39901, TID - (225),5,RMI Runtime], indices : (-1,0,1), value : ПН
20 июл. 2026 19:11:09,404 Админ Админов - 127.0.0.1 - 127.0.0.1  INFO RemoteLogger - getAsyncValues ended: Thread[#225,RMI:_FORM_39901, TID - (225),5,RMI Runtime], indices : (-1,0,1)
20 июл. 2026 19:11:10,461 Админ Админов - 127.0.0.1 - 127.0.0.1  INFO RemoteLogger - REMOTE OBJECT CLOSE RF[FORM[91477331 - Main.viewRegions,RN[clientAddress: 127.0.0.1,284 - Authentication.CustomUser 'Обычный пользователь',1531793653,SQL@1781311086]]]
20 июл. 2026 19:11:10,461 Админ Админов - 127.0.0.1 - 127.0.0.1  INFO RemoteLogger - FORM CLOSE : FORM[91477331 - Main.viewRegions,RN[clientAddress: 127.0.0.1,284 - Authentication.CustomUser 'Обычный пользователь',1531793653,SQL@1781311086]]
20 июл. 2026 19:11:10,532 Админ Админов - 127.0.0.1 - 127.0.0.1  INFO RemoteLogger - executeEventAction started: [ID: 39915, SID: caption(obj39911)]
20 июл. 2026 19:11:10,535 Админ Админов - 127.0.0.1 - 127.0.0.1  INFO RemoteLogger - executeEventAction ended: [ID: 39915, SID: caption(obj39911)]
