15 июл. 2026 18:50:39,521 system - system - system  INFO ExInfoLogger - SQL SESSION CLOSE SQL@657198300
15 июл. 2026 18:51:10,529 system - system - system  INFO ExInfoLogger - SQL SESSION OPEN SQL@2019502415
15 июл. 2026 18:51:11,211 system - system - system  INFO ExInfoLogger - SQL SESSION OPEN SQL@1396292525
15 июл. 2026 18:51:11,211 system - system - system  INFO ExInfoLogger - SQL SESSION CLOSE SQL@2019502415
15 июл. 2026 18:51:11,973 system - system - system  INFO ExInfoLogger - SQL SESSION OPEN SQL@2126392903
15 июл. 2026 18:51:12,371 system - system - system  INFO ExInfoLogger - SQL SESSION OPEN SQL@1166606217
15 июл. 2026 18:51:12,371 system - system - system  INFO ExInfoLogger - SQL SESSION OPEN SQL@920052537
15 июл. 2026 18:51:12,540 system - system - system  INFO ExInfoLogger - SQL SESSION OPEN SQL@655399505
15 июл. 2026 18:51:12,592 system - system - system  INFO ExInfoLogger - SQL SESSION OPEN SQL@1322245338
15 июл. 2026 18:51:12,630 system - system - system  INFO ExInfoLogger - SQL SESSION OPEN SQL@719272765
15 июл. 2026 18:51:12,630 system - system - system  INFO ExInfoLogger - SQL SESSION OPEN SQL@424490491
15 июл. 2026 18:51:12,630 system - system - system  INFO ExInfoLogger - SQL SESSION OPEN SQL@1954866436
15 июл. 2026 18:51:12,630 system - system - system  INFO ExInfoLogger - SQL SESSION OPEN SQL@1353504073
15 июл. 2026 18:51:12,630 system - system - system  INFO ExInfoLogger - SQL SESSION OPEN SQL@1308155988
15 июл. 2026 18:51:12,630 system - system - system  INFO ExInfoLogger - SQL SESSION OPEN SQL@1061165060
15 июл. 2026 18:51:14,936 system - system - system  INFO ExInfoLogger - SQL SESSION OPEN SQL@1711765785
15 июл. 2026 18:51:14,936 system - system - system  INFO ExInfoLogger - SQL SESSION OPEN SQL@487612124
15 июл. 2026 18:51:14,936 system - system - system  INFO ExInfoLogger - SQL SESSION OPEN SQL@723717494
15 июл. 2026 18:51:15,090 system - system - system  INFO ExInfoLogger - SQL SESSION CLOSE SQL@1353504073
15 июл. 2026 18:51:15,090 system - system - system  INFO ExInfoLogger - SQL SESSION CLOSE SQL@424490491
15 июл. 2026 18:51:15,090 system - system - system  INFO ExInfoLogger - SQL SESSION CLOSE SQL@1166606217
15 июл. 2026 18:51:15,090 system - system - system  INFO ExInfoLogger - SQL SESSION CLOSE SQL@1322245338
15 июл. 2026 18:51:15,090 system - system - system  INFO ExInfoLogger - SQL SESSION CLOSE SQL@920052537
15 июл. 2026 18:51:15,090 system - system - system  INFO ExInfoLogger - SQL SESSION CLOSE SQL@1308155988
15 июл. 2026 18:51:15,090 system - system - system  INFO ExInfoLogger - SQL SESSION CLOSE SQL@655399505
15 июл. 2026 18:51:15,090 system - system - system  INFO ExInfoLogger - SQL SESSION CLOSE SQL@1954866436
15 июл. 2026 18:51:15,090 system - system - system  INFO ExInfoLogger - SQL SESSION CLOSE SQL@719272765
15 июл. 2026 18:51:15,090 system - system - system  INFO ExInfoLogger - SQL SESSION CLOSE SQL@1061165060
15 июл. 2026 18:51:15,119 system - system - system  INFO ExInfoLogger - SQL SESSION OPEN SQL@231294244
15 июл. 2026 18:51:15,122 system - system - system  INFO ExInfoLogger - SQL SESSION OPEN SQL@92034633
15 июл. 2026 18:51:15,135 system - system - system  INFO ExInfoLogger - SQL SESSION CLOSE SQL@231294244
15 июл. 2026 18:51:15,136 system - system - system  INFO ExInfoLogger - SQL SESSION CLOSE SQL@92034633
15 июл. 2026 18:51:15,153 system - system - system  INFO ExInfoLogger - SQL SESSION CLOSE SQL@1396292525
15 июл. 2026 18:51:20,944 system - system - system  INFO ExInfoLogger - SQL SESSION OPEN SQL@171585825
15 июл. 2026 18:52:01,585 system - system - system  INFO ExInfoLogger - SQL SESSION OPEN SQL@810741143
15 июл. 2026 18:52:01,587 system - system - system  INFO ExInfoLogger - SQL SESSION OPEN SQL@144431571
15 июл. 2026 18:52:01,833 system - system - system  INFO ExInfoLogger - SQL SESSION CLOSE SQL@144431571
15 июл. 2026 18:52:01,881 system - system - system  INFO ExInfoLogger - SQL SESSION OPEN SQL@1688800816
15 июл. 2026 18:52:01,949 system - system - system  INFO ExInfoLogger - SQL SESSION OPEN SQL@580906104
15 июл. 2026 18:52:02,117 system - system - system  INFO ExInfoLogger - SQL SESSION CLOSE SQL@580906104
15 июл. 2026 18:52:04,233 Админ Админов - 127.0.0.1 - 127.0.0.1  INFO ExInfoLogger - SQL SESSION OPEN SQL@1496534516
15 июл. 2026 18:52:04,312 Админ Админов - 127.0.0.1 - 127.0.0.1  INFO ExInfoLogger - SQL SESSION CLOSE SQL@1496534516
15 июл. 2026 18:52:08,707 Админ Админов - 127.0.0.1 - 127.0.0.1  INFO ExInfoLogger - SQL SESSION OPEN SQL@517372168
15 июл. 2026 18:52:19,878 Админ Админов - 127.0.0.1 - 127.0.0.1  INFO ExInfoLogger - SQL SESSION OPEN SQL@1105606983
15 июл. 2026 18:52:34,830 system - system - system  INFO ExInfoLogger - SQL SESSION OPEN SQL@1891794701
15 июл. 2026 18:52:34,863 system - system - system  INFO ExInfoLogger - SQL SESSION CLOSE SQL@1891794701
15 июл. 2026 18:52:34,950 system - system - system  INFO ExInfoLogger - SQL SESSION OPEN SQL@1454957192
15 июл. 2026 18:52:34,963 system - system - system  INFO ExInfoLogger - SQL SESSION OPEN SQL@1775579329
15 июл. 2026 18:52:34,978 system - system - system  INFO ExInfoLogger - SQL SESSION CLOSE SQL@1454957192
15 июл. 2026 18:52:38,002 system - system - system  INFO ExInfoLogger - SQL SESSION OPEN SQL@2013389460
15 июл. 2026 18:52:38,006 system - system - system  INFO ExInfoLogger - SQL SESSION CLOSE SQL@2013389460
